  t   A   B   C   D   E   F   G   H   I   J   K   L   M   N   O   P   Q   R   S   T   U   V   W   X   Y   Z
254   0   0   0   0   0   0   0   0   0   0  66   2   2 502   1   1   1   1   1 126  21   1   1   1   1 271
255   0   0   0   0   0   0   0   0   0   0  64   2   2 503   1   1   1   1   1 126  21   1   1   1   1 272
256   0   0   0   0   0   0   0   0   0   0  62   2   2 504   1   1   1   1   1 126  21   1   1   1   1 273
257   0   0   0   0   0   0   0   0   0   0  60   2   2 505   1   1   1   1   1 126  21   1   1   1   1 274
258   0   0   0   0   0   0   0   0   0   0  58   2   2 506   1   1   1   1   1 126  21   1   1   1   1 275
259   0   0   0   0   0   0   0   0   0   0  56   2   2 507   1   1   1   1   1 126  21   1   1   1   1 276
260   0   0   0   0   0   0   0   0   0   0  54   2   2 508   1   1   1   1   1 126  21   1   1   1   1 277
261   0   0   0   0   0   0   0   0   0   0  52   2   2 509   1   1   1   1   1 126  21   1   1   1   1 278
262   0   0   0   0   0   0   0   0   0   0  50   2   2 510   1   1   1   1   1 126  21   1   1   1   1 279
263   0   0   0   0   0   0   0   0   0   0  48   2   2 511   1   1   1   1   1 126  21   1   1   1   1 280
264   0   0   0   0   0   0   0   0   0   0  46   2   2 512   1   1   1   1   1 126  21   1   1   1   1 281
265   0   0   0   0   0   0   0   0   0   0  44   2   2 513   1   1   1   1   1 126  21   1   1   1   1 282
266   0   0   0   0   0   0   0   0   0   0  42   2   2 514   1   1   1   1   1 126  21   1   1   1   1 283
267   0   0   0   0   0   0   0   0   0   0  40   2   2 515   1   1   1   1   1 126  21   1   1   1   1 284
268   0   0   0   0   0   0   0   0   0   0  38   2   2 516   1   1   1   1   1 126  21   1   1   1   1 285
269   0   0   0   0   0   0   0   0   0   0  36   2   2 517   1   1   1   1   1 126  21   1   1   1   1 286
270   0   0   0   0   0   0   0   0   0   0  34   2   2 518   1   1   1   1   1 126  21   1   1   1   1 287
271   0   0   0   0   0   0   0   0   0   0  32   2   2 519   1   1   1   1   1 126  21   1   1   1   1 288
272   0   0   0   0   0   0   0   0   0   0  30   2   2 520   1   1   1   1   1 126  21   1   1   1   1 289
273   0   0   0   0   0   0   0   0   0   0  28   2   2 521   1   1   1   1   1 126  21   1   1   1   1 290
274   0   0   0   0   0   0   0   0   0   0  26   2   2 522   1   1   1   1   1 126  21   1   1   1   1 291
275   0   0   0   0   0   0   0   0   0   0  24   2   2 523   1   1   1   1   1 126  21   1   1   1   1 292
276   0   0   0   0   0   0   0   0   0   0  22   2   2 524   1   1   1   1   1 126  21   1   1   1   1 293
277   0   0   0   0   0   0   0   0   0   0  20   2   2 525   1   1   1   1   1 126  21   1   1   1   1 294
278   0   0   0   0   0   0   0   0   0   0  18   2   2 526   1   1   1   1   1 126  21   1   1   1   1 295
279   0   0   0   0   0   0   0   0   0   0  16   2   2 527   1   1   1   1   1 126  21   1   1   1   1 296
280   0   0   0   0   0   0   0   0   0   0  14   2   2 528   1   1   1   1   1 126  21   1   1   1   1 297
281   0   0   0   0   0   0   0   0   0   0  12   2   2 529   1   1   1   1   1 126  21   1   1   1   1 298
282   0   0   0   0   0   0   0   0   0   0  10   2   2 530   1   1   1   1   1 126  21   1   1   1   1 299
283   0   0   0   0   0   0   0   0   0   0   8   2   2 531   1   1   1   1   1 126  21   1   1   1   1 300
284   0   0   0   0   0   0   0   0   0   0   6   2   2 532   1   1   1   1   1 126  21   1   1   1   1 301
285   0   0   0   0   0   0   0   0   0   0   4   2   2 533   1   1   1   1   1 126  21   1   1   1   1 302
286   0   0   0   0   0   0   0   0   0   0   2   2   2 534   1   1   1   1   1 126  21   1   1   1   1 303
287   0   0   0   0   0   0   0   0   0   0   0   2   2 535   1   1   1   1   1 126  21   1   1   1   1 304
288   0   0   0   0   0   0   0   0   0   0   0   0   2 536   1   1   1   1   1 126  21   1   1   1   1 305
289   0   0   0   0   0   0   0   0   0   0   0   0   0 537   1   1   1   1   1 126  21   1   1   1   1 306
290   0   0   0   0   0   0   0   0   0   0   0   0   0 536   1   1   1   1   1 126  21   1   1   1   1 307
291   0   0   0   0   0   0   0   0   0   0   0   0   0 535   1   1   1   1   1 126  21   1   1   1   1 308
292   0   0   0   0   0   0   0   0   0   0   0   0   0 534   1   1   1   1   1 126  21   1   1   1   1 309
293   0   0   0   0   0   0   0   0   0   0   0   0   0 533   1   1   1   1   1 126  21   1   1   1   1 310
294   0   0   0   0   0   0   0   0   0   0   0   0   0 532   1   1   1   1   1 126  21   1   1   1   1 311
295   0   0   0   0   0   0   0   0   0   0   0   0   0 531   1   1   1   1   1 126  21   1   1   1   1 312
296   0   0   0   0   0   0   0   0   0   0   0   0   0 530   1   1   1   1   1 126  21   1   1   1   1 313
297   0   0   0   0   0   0   0   0   0   0   0   0   0 529   1   1   1   1   1 126  21   1   1   1   1 314
298   0   0   0   0   0   0   0   0   0   0   0   0   0 528   1   1   1   1   1 126  21   1   1   1   1 315
299   0   0   0   0   0   0   0   0   0   0   0   0   0 527   1   1   1   1   1 126  21   1   1   1   1 316
300   0   0   0   0   0   0   0   0   0   0   0   0   0 526   1   1   1   1   1 126  21   1   1   1   1 317
301   0   0   0   0   0   0   0   0   0   0   0   0   0 525   1   1   1   1   1 126  21   1   1   1   1 318
302   0   0   0   0   0   0   0   0   0   0   0   0   0 524   1   1   1   1   1 126  21   1   1   1   1 319
303   0   0   0   0   0   0   0   0   0   0   0   0   0 523   1   1   1   1   1 126  21   1   1   1   1 320
304   0   0   0   0   0   0   0   0   0   0   0   0   0 522   1   1   1   1   1 126  21   1   1   1   1 321
305   0   0   0   0   0   0   0   0   0   0   0   0   0 521   1   1   1   1   1 126  21   1   1   1   1 322
306   0   0   0   0   0   0   0   0   0   0   0   0   0 520   1   1   1   1   1 126  21   1   1   1   1 323
307   0   0   0   0   0   0   0   0   0   0   0   0   0 519   1   1   1   1   1 126  21   1   1   1   1 324
308   0   0   0   0   0   0   0   0   0   0   0   0   0 518   1   1   1   1   1 126  21   1   1   1   1 325
309   0   0   0   0   0   0   0   0   0   0   0   0   0 517   1   1   1   1   1 126  21   1   1   1   1 326
310   0   0   0   0   0   0   0   0   0   0   0   0   0 516   1   1   1   1   1 126  21   1   1   1   1 327
311   0   0   0   0   0   0   0   0   0   0   0   0   0 515   1   1   1   1   1 126  21   1   1   1   1 328
312   0   0   0   0   0   0   0   0   0   0   0   0   0 514   1   1   1   1   1 126  21   1   1   1   1 329
313   0   0   0   0   0   0   0   0   0   0   0   0   0 513   1   1   1   1   1 126  21   1   1   1   1 330
314   0   0   0   0   0   0   0   0   0   0   0   0   0 512   1   1   1   1   1 126  21   1   1   1   1 331
315   0   0   0   0   0   0   0   0   0   0   0   0   0 511   1   1   1   1   1 126  21   1   1   1   1 332
316   0   0   0   0   0   0   0   0   0   0   0   0   0 510   1   1   1   1   1 126  21   1   1   1   1 333
317   0   0   0   0   0   0   0   0   0   0   0   0   0 509   1   1   1   1   1 126  21   1   1   1   1 334
318   0   0   0   0   0   0   0   0   0   0   0   0   0 508   1   1   1   1   1 126  21   1   1   1   1 335
319   0   0   0   0   0   0   0   0   0   0   0   0   0 507   1   1   1   1   1 126  21   1   1   1   1 336
320   0   0   0   0   0   0   0   0   0   0   0   0   0 506   1   1   1   1   1 126  21   1   1   1   1 337
321   0   0   0   0   0   0   0   0   0   0   0   0   0 505   1   1   1   1   1 126  21   1   1   1   1 338
322   0   0   0   0   0   0   0   0   0   0   0   0   0 504   1   1   1   1   1 126  21   1   1   1   1 339
323   0   0   0   0   0   0   0   0   0   0   0   0   0 503   1   1   1   1   1 126  21   1   1   1   1 340
324   0   0   0   0   0   0   0   0   0   0   0   0   0 502   1   1   1   1   1 126  21   1   1   1   1 341
325   0   0   0   0   0   0   0   0   0   0   0   0   0 501   1   1   1   1   1 126  21   1   1   1   1 342
326   0   0   0   0   0   0   0   0   0   0   0   0   0 500   1   1   1   1   1 126  21   1   1   1   1 343
327   0   0   0   0   0   0   0   0   0   0   0   0   0 499   1   1   1   1   1 126  21   1   1   1   1 344
328   0   0   0   0   0   0   0   0   0   0   0   0   0 498   1   1   1   1   1 126  21   1   1   1   1 345
329   0   0   0   0   0   0   0   0   0   0   0   0   0 497   1   1   1   1   1 126  21   1   1   1   1 346
330   0   0   0   0   0   0   0   0   0   0   0   0   0 496   1   1   1   1   1 126  21   1   1   1   1 347
331   0   0   0   0   0   0   0   0   0   0   0   0   0 495   1   1   1   1   1 126  21   1   1   1   1 348
332   0   0   0   0   0   0   0   0   0   0   0   0   0 494   1   1   1   1   1 126  21   1   1   1   1 349
333   0   0   0   0   0   0   0   0   0   0   0   0   0 493   1   1   1   1   1 126  21   1   1   1   1 350
334   0   0   0   0   0   0   0   0   0   0   0   0   0 492   1   1   1   1   1 126  21   1   1   1   1 351
335   0   0   0   0   0   0   0   0   0   0   0   0   0 491   1   1   1   1   1 126  21   1   1   1   1 352
336   0   0   0   0   0   0   0   0   0   0   0   0   0 490   1   1   1   1   1 126  21   1   1   1   1 353
337   0   0   0   0   0   0   0   0   0   0   0   0   0 489   1   1   1   1   1 126  21   1   1   1   1 354
338   0   0   0   0   0   0   0   0   0   0   0   0   0 488   1   1   1   1   1 126  21   1   1   1   1 355
339   0   0   0   0   0   0   0   0   0   0   0   0   0 487   1   1   1   1   1 126  21   1   1   1   1 356
340   0   0   0   0   0   0   0   0   0   0   0   0   0 486   1   1   1   1   1 126  21   1   1   1   1 357
341   0   0   0   0   0   0   0   0   0   0   0   0   0 485   1   1   1   1   1 126  21   1   1   1   1 358
342   0   0   0   0   0   0   0   0   0   0   0   0   0 484   1   1   1   1   1 126  21   1   1   1   1 359
343   0   0   0   0   0   0   0   0   0   0   0   0   0 483   1   1   1   1   1 126  21   1   1   1   1 360
344   0   0   0   0   0   0   0   0   0   0   0   0   0 482   1   1   1   1   1 126  21   1   1   1   1 361
345   0   0   0   0   0   0   0   0   0   0   0   0   0 481   1   1   1   1   1 126  21   1   1   1   1 362
346   0   0   0   0   0   0   0   0   0   0   0   0   0 480   1   1   1   1   1 126  21   1   1   1   1 363
347   0   0   0   0   0   0   0   0   0   0   0   0   0 479   1   1   1   1   1 126  21   1   1   1   1 364
348   0   0   0   0   0   0   0   0   0   0   0   0   0 478   1   1   1   1   1 126  21   1   1   1   1 365
349   0   0   0   0   0   0   0   0   0   0   0   0   0 477   1   1   1   1   1 126  21   1   1   1   1 366
350   0   0   0   0   0   0   0   0   0   0   0   0   0 476   1   1   1   1   1 126  21   1   1   1   1 367
351   0   0   0   0   0   0   0   0   0   0   0   0   0 475   1   1   1   1   1 126  21   1   1   1   1 368
352   0   0   0   0   0   0   0   0   0   0   0   0   0 474   1   1   1   1   1 126  21   1   1   1   1 369
353   0   0   0   0   0   0   0   0   0   0   0   0   0 473   1   1   1   1   1 126  21   1   1   1   1 370
354   0   0   0   0   0   0   0   0   0   0   0   0   0 472   1   1   1   1   1 126  21   1   1   1   1 371
355   0   0   0   0   0   0   0   0   0   0   0   0   0 471   1   1   1   1   1 126  21   1   1   1   1 372
356   0   0   0   0   0   0   0   0   0   0   0   0   0 470   1   1   1   1   1 126  21   1   1   1   1 373
357   0   0   0   0   0   0   0   0   0   0   0   0   0 469   1   1   1   1   1 126  21   1   1   1   1 374
358   0   0   0   0   0   0   0   0   0   0   0   0   0 468   1   1   1   1   1 126  21   1   1   1   1 375
359   0   0   0   0   0   0   0   0   0   0   0   0   0 467   1   1   1   1   1 126  21   1   1   1   1 376
360   0   0   0   0   0   0   0   0   0   0   0   0   0 466   1   1   1   1   1 126  21   1   1   1   1 377
361   0   0   0   0   0   0   0   0   0   0   0   0   0 465   1   1   1   1   1 126  21   1   1   1   1 378
362   0   0   0   0   0   0   0   0   0   0   0   0   0 464   1   1   1   1   1 126  21   1   1   1   1 379
363   0   0   0   0   0   0   0   0   0   0   0   0   0 463   1   1   1   1   1 126  21   1   1   1   1 380
364   0   0   0   0   0   0   0   0   0   0   0   0   0 462   1   1   1   1   1 126  21   1   1   1   1 381
365   0   0   0   0   0   0   0   0   0   0   0   0   0 461   1   1   1   1   1 126  21   1   1   1   1 382
366   0   0   0   0   0   0   0   0   0   0   0   0   0 460   1   1   1   1   1 126  21   1   1   1   1 383
367   0   0   0   0   0   0   0   0   0   0   0   0   0 459   1   1   1   1   1 126  21   1   1   1   1 384
368   0   0   0   0   0   0   0   0   0   0   0   0   0 458   1   1   1   1   1 126  21   1   1   1   1 385
369   0   0   0   0   0   0   0   0   0   0   0   0   0 457   1   1   1   1   1 126  21   1   1   1   1 386
370   0   0   0   0   0   0   0   0   0   0   0   0   0 456   1   1   1   1   1 126  21   1   1   1   1 387
371   0   0   0   0   0   0   0   0   0   0   0   0   0 455   1   1   1   1   1 126  21   1   1   1   1 388
372   0   0   0   0   0   0   0   0   0   0   0   0   0 454   1   1   1   1   1 126  21   1   1   1   1 389
373   0   0   0   0   0   0   0   0   0   0   0   0   0 453   1   1   1   1   1 126  21   1   1   1   1 390
374   0   0   0   0   0   0   0   0   0   0   0   0   0 452   1   1   1   1   1 126  21   1   1   1   1 391
375   0   0   0   0   0   0   0   0   0   0   0   0   0 451   1   1   1   1   1 126  21   1   1   1   1 392
376   0   0   0   0   0   0   0   0   0   0   0   0   0 450   1   1   1   1   1 126  21   1   1   1   1 393
377   0   0   0   0   0   0   0   0   0   0   0   0   0 449   1   1   1   1   1 126  21   1   1   1   1 394
378   0   0   0   0   0   0   0   0   0   0   0   0   0 448   1   1   1   1   1 126  21   1   1   1   1 395
379   0   0   0   0   0   0   0   0   0   0   0   0   0 447   1   1   1   1   1 126  21   1   1   1   1 396
380   0   0   0   0   0   0   0   0   0   0   0   0   0 446   1   1   1   1   1 126  21   1   1   1   1 397
381   0   0   0   0   0   0   0   0   0   0   0   0   0 445   1   1   1   1   1 126  21   1   1   1   1 398
382   0   0   0   0   0   0   0   0   0   0   0   0   0 444   1   1   1   1   1 126  21   1   1   1   1 399
383   0   0   0   0   0   0   0   0   0   0   0   0   0 443   1   1   1   1   1 126  21   1   1   1   1 400
384   0   0   0   0   0   0   0   0   0   0   0   0   0 442   1   1   1   1   1 126  21   1   1   1   1 401
385   0   0   0   0   0   0   0   0   0   0   0   0   0 441   1   1   1   1   1 126  21   1   1   1   1 402
386   0   0   0   0   0   0   0   0   0   0   0   0   0 440   1   1   1   1   1 126  21   1   1   1   1 403
387   0   0   0   0   0   0   0   0   0   0   0   0   0 439   1   1   1   1   1 126  21   1   1   1   1 404
388   0   0   0   0   0   0   0   0   0   0   0   0   0 438   1   1   1   1   1 126  21   1   1   1   1 405
389   0   0   0   0   0   0   0   0   0   0   0   0   0 437   1   1   1   1   1 126  21   1   1   1   1 406
390   0   0   0   0   0   0   0   0   0   0   0   0   0 436   1   1   1   1   1 126  21   1   1   1   1 407
391   0   0   0   0   0   0   0   0   0   0   0   0   0 435   1   1   1   1   1 126  21   1   1   1   1 408
392   0   0   0   0   0   0   0   0   0   0   0   0   0 434   1   1   1   1   1 126  21   1   1   1   1 409
393   0   0   0   0   0   0   0   0   0   0   0   0   0 433   1   1   1   1   1 126  21   1   1   1   1 410
394   0   0   0   0   0   0   0   0   0   0   0   0   0 432   1   1   1   1   1 126  21   1   1   1   1 411
395   0   0   0   0   0   0   0   0   0   0   0   0   0 431   1   1   1   1   1 126  21   1   1   1   1 412
396   0   0   0   0   0   0   0   0   0   0   0   0   0 430   1   1   1   1   1 126  21   1   1   1   1 413
397   0   0   0   0   0   0   0   0   0   0   0   0   0 429   1   1   1   1   1 126  21   1   1   1   1 414
398   0   0   0   0   0   0   0   0   0   0   0   0   0 428   1   1   1   1   1 126  21   1   1   1   1 415
399   0   0   0   0   0   0   0   0   0   0   0   0   0 427   1   1   1   1   1 126  21   1   1   1   1 416
400   0   0   0   0   0   0   0   0   0   0   0   0   0 426   1   1   1   1   1 126  21   1   1   1   1 417
401   0   0   0   0   0   0   0   0   0   0   0   0   0 425   1   1   1   1   1 126  21   1   1   1   1 418
402   0   0   0   0   0   0   0   0   0   0   0   0   0 424   1   1   1   1   1 126  21   1   1   1   1 419
403   0   0   0   0   0   0   0   0   0   0   0   0   0 423   1   1   1   1   1 126  21   1   1   1   1 420
404   0   0   0   0   0   0   0   0   0   0   0   0   0 422   1   1   1   1   1 126  21   1   1   1   1 421
405   0   0   0   0   0   0   0   0   0   0   0   0   0 421   1   1   1   1   1 126  21   1   1   1   1 422
406   0   0   0   0   0   0   0   0   0   0   0   0   0 420   1   1   1   1   1 126  21   1   1   1   1 423
407   0   0   0   0   0   0   0   0   0   0   0   0   0 419   1   1   1   1   1 126  21   1   1   1   1 424
408   0   0   0   0   0   0   0   0   0   0   0   0   0 418   1   1   1   1   1 126  21   1   1   1   1 425
409   0   0   0   0   0   0   0   0   0   0   0   0   0 417   1   1   1   1   1 126  21   1   1   1   1 426
410   0   0   0   0   0   0   0   0   0   0   0   0   0 416   1   1   1   1   1 126  21   1   1   1   1 427
411   0   0   0   0   0   0   0   0   0   0   0   0   0 415   1   1   1   1   1 126  21   1   1   1   1 428
412   0   0   0   0   0   0   0   0   0   0   0   0   0 414   1   1   1   1   1 126  21   1   1   1   1 429
413   0   0   0   0   0   0   0   0   0   0   0   0   0 413   1   1   1   1   1 126  21   1   1   1   1 430
414   0   0   0   0   0   0   0   0   0   0   0   0   0 412   1   1   1   1   1 126  21   1   1   1   1 431
415   0   0   0   0   0   0   0   0   0   0   0   0   0 411   1   1   1   1   1 126  21   1   1   1   1 432
416   0   0   0   0   0   0   0   0   0   0   0   0   0 410   1   1   1   1   1 126  21   1   1   1   1 433
417   0   0   0   0   0   0   0   0   0   0   0   0   0 409   1   1   1   1   1 126  21   1   1   1   1 434
418   0   0   0   0   0   0   0   0   0   0   0   0   0 408   1   1   1   1   1 126  21   1   1   1   1 435
419   0   0   0   0   0   0   0   0   0   0   0   0   0 407   1   1   1   1   1 126  21   1   1   1   1 436
420   0   0   0   0   0   0   0   0   0   0   0   0   0 406   1   1   1   1   1 126  21   1   1   1   1 437
421   0   0   0   0   0   0   0   0   0   0   0   0   0 405   1   1   1   1   1 126  21   1   1   1   1 438
422   0   0   0   0   0   0   0   0   0   0   0   0   0 404   1   1   1   1   1 126  21   1   1   1   1 439
423   0   0   0   0   0   0   0   0   0   0   0   0   0 403   1   1   1   1   1 126  21   1   1   1   1 440
424   0   0   0   0   0   0   0   0   0   0   0   0   0 402   1   1   1   1   1 126  21   1   1   1   1 441
425   0   0   0   0   0   0   0   0   0   0   0   0   0 401   1   1   1   1   1 126  21   1   1   1   1 442
426   0   0   0   0   0   0   0   0   0   0   0   0   0 400   1   1   1   1   1 126  21   1   1   1   1 443
427   0   0   0   0   0   0   0   0   0   0   0   0   0 399   1   1   1   1   1 126  21   1   1   1   1 444
428   0   0   0   0   0   0   0   0   0   0   0   0   0 398   1   1   1   1   1 126  21   1   1   1   1 445
429   0   0   0   0   0   0   0   0   0   0   0   0   0 397   1   1   1   1   1 126  21   1   1   1   1 446
430   0   0   0   0   0   0   0   0   0   0   0   0   0 396   1   1   1   1   1 126  21   1   1   1   1 447
431   0   0   0   0   0   0   0   0   0   0   0   0   0 395   1   1   1   1   1 126  21   1   1   1   1 448
432   0   0   0   0   0   0   0   0   0   0   0   0   0 394   1   1   1   1   1 126  21   1   1   1   1 449
433   0   0   0   0   0   0   0   0   0   0   0   0   0 393   1   1   1   1   1 126  21   1   1   1   1 450
434   0   0   0   0   0   0   0   0   0   0   0   0   0 392   1   1   1   1   1 126  21   1   1   1   1 451
435   0   0   0   0   0   0   0   0   0   0   0   0   0 391   1   1   1   1   1 126  21   1   1   1   1 452
436   0   0   0   0   0   0   0   0   0   0   0   0   0 390   1   1   1   1   1 126  21   1   1   1   1 453
437   0   0   0   0   0   0   0   0   0   0   0   0   0 389   1   1   1   1   1 126  21   1   1   1   1 454
438   0   0   0   0   0   0   0   0   0   0   0   0   0 388   1   1   1   1   1 126  21   1   1   1   1 455
439   0   0   0   0   0   0   0   0   0   0   0   0   0 387   1   1   1   1   1 126  21   1   1   1   1 456
440   0   0   0   0   0   0   0   0   0   0   0   0   0 386   1   1   1   1   1 126  21   1   1   1   1 457
441   0   0   0   0   0   0   0   0   0   0   0   0   0 385   1   1   1   1   1 126  21   1   1   1   1 458
442   0   0   0   0   0   0   0   0   0   0   0   0   0 384   1   1   1   1   1 126  21   1   1   1   1 459
443   0   0   0   0   0   0   0   0   0   0   0   0   0 383   1   1   1   1   1 126  21   1   1   1   1 460
444   0   0   0   0   0   0   0   0   0   0   0   0   0 382   1   1   1   1   1 126  21   1   1   1   1 461
445   0   0   0   0   0   0   0   0   0   0   0   0   0 381   1   1   1   1   1 126  21   1   1   1   1 462
446   0   0   0   0   0   0   0   0   0   0   0   0   0 380   1   1   1   1   1 126  21   1   1   1   1 463
447   0   0   0   0   0   0   0   0   0   0   0   0   0 379   1   1   1   1   1 126  21   1   1   1   1 464
448   0   0   0   0   0   0   0   0   0   0   0   0   0 378   1   1   1   1   1 126  21   1   1   1   1 465
449   0   0   0   0   0   0   0   0   0   0   0   0   0 377   1   1   1   1   1 126  21   1   1   1   1 466
450   0   0   0   0   0   0   0   0   0   0   0   0   0 376   1   1   1   1   1 126  21   1   1   1   1 467
451   0   0   0   0   0   0   0   0   0   0   0   0   0 375   1   1   1   1   1 126  21   1   1   1   1 468
452   0   0   0   0   0   0   0   0   0   0   0   0   0 374   1   1   1   1   1 126  21   1   1   1   1 469
453   0   0   0   0   0   0   0   0   0   0   0   0   0 373   1   1   1   1   1 126  21   1   1   1   1 470
454   0   0   0   0   0   0   0   0   0   0   0   0   0 372   1   1   1   1   1 126  21   1   1   1   1 471
455   0   0   0   0   0   0   0   0   0   0   0   0   0 371   1   1   1   1   1 126  21   1   1   1   1 472
456   0   0   0   0   0   0   0   0   0   0   0   0   0 370   1   1   1   1   1 126  21   1   1   1   1 473
457   0   0   0   0   0   0   0   0   0   0   0   0   0 369   1   1   1   1   1 126  21   1   1   1   1 474
458   0   0   0   0   0   0   0   0   0   0   0   0   0 368   1   1   1   1   1 126  21   1   1   1   1 475
459   0   0   0   0   0   0   0   0   0   0   0   0   0 367   1   1   1   1   1 126  21   1   1   1   1 476
460   0   0   0   0   0   0   0   0   0   0   0   0   0 366   1   1   1   1   1 126  21   1   1   1   1 477
461   0   0   0   0   0   0   0   0   0   0   0   0   0 365   1   1   1   1   1 126  21   1   1   1   1 478
462   0   0   0   0   0   0   0   0   0   0   0   0   0 364   1   1   1   1   1 126  21   1   1   1   1 479
463   0   0   0   0   0   0   0   0   0   0   0   0   0 363   1   1   1   1   1 126  21   1   1   1   1 480
464   0   0   0   0   0   0   0   0   0   0   0   0   0 362   1   1   1   1   1 126  21   1   1   1   1 481
465   0   0   0   0   0   0   0   0   0   0   0   0   0 361   1   1   1   1   1 126  21   1   1   1   1 482
466   0   0   0   0   0   0   0   0   0   0   0   0   0 360   1   1   1   1   1 126  21   1   1   1   1 483
467   0   0   0   0   0   0   0   0   0   0   0   0   0 359   1   1   1   1   1 126  21   1   1   1   1 484
468   0   0   0   0   0   0   0   0   0   0   0   0   0 358   1   1   1   1   1 126  21   1   1   1   1 485
469   0   0   0   0   0   0   0   0   0   0   0   0   0 357   1   1   1   1   1 126  21   1   1   1   1 486
470   0   0   0   0   0   0   0   0   0   0   0   0   0 356   1   1   1   1   1 126  21   1   1   1   1 487
471   0   0   0   0   0   0   0   0   0   0   0   0   0 355   1   1   1   1   1 126  21   1   1   1   1 488
472   0   0   0   0   0   0   0   0   0   0   0   0   0 354   1   1   1   1   1 126  21   1   1   1   1 489
473   0   0   0   0   0   0   0   0   0   0   0   0   0 353   1   1   1   1   1 126  21   1   1   1   1 490
474   0   0   0   0   0   0   0   0   0   0   0   0   0 352   1   1   1   1   1 126  21   1   1   1   1 491
475   0   0   0   0   0   0   0   0   0   0   0   0   0 351   1   1   1   1   1 126  21   1   1   1   1 492
476   0   0   0   0   0   0   0   0   0   0   0   0   0 350   1   1   1   1   1 126  21   1   1   1   1 493
477   0   0   0   0   0   0   0   0   0   0   0   0   0 349   1   1   1   1   1 126  21   1   1   1   1 494
478   0   0   0   0   0   0   0   0   0   0   0   0   0 348   1   1   1   1   1 126  21   1   1   1   1 495
479   0   0   0   0   0   0   0   0   0   0   0   0   0 347   1   1   1   1   1 126  21   1   1   1   1 496
480   0   0   0   0   0   0   0   0   0   0   0   0   0 346   1   1   1   1   1 126  21   1   1   1   1 497
481   0   0   0   0   0   0   0   0   0   0   0   0   0 345   1   1   1   1   1 126  21   1   1   1   1 498
482   0   0   0   0   0   0   0   0   0   0   0   0   0 344   1   1   1   1   1 126  21   1   1   1   1 499
483   0   0   0   0   0   0   0   0   0   0   0   0   0 343   1   1   1   1   1 126  21   1   1   1   1 500
484   0   0   0   0   0   0   0   0   0   0   0   0   0 342   1   1   1   1   1 126  21   1   1   1   1 501
485   0   0   0   0   0   0   0   0   0   0   0   0   0 341   1   1   1   1   1 126  21   1   1   1   1 502
486   0   0   0   0   0   0   0   0   0   0   0   0   0 340   1   1   1   1   1 126  21   1   1   1   1 503
487   0   0   0   0   0   0   0   0   0   0   0   0   0 339   1   1   1   1   1 126  21   1   1   1   1 504
488   0   0   0   0   0   0   0   0   0   0   0   0   0 338   1   1   1   1   1 126  21   1   1   1   1 505
489   0   0   0   0   0   0   0   0   0   0   0   0   0 337   1   1   1   1   1 126  21   1   1   1   1 506
490   0   0   0   0   0   0   0   0   0   0   0   0   0 336   1   1   1   1   1 126  21   1   1   1   1 507
491   0   0   0   0   0   0   0   0   0   0   0   0   0 335   1   1   1   1   1 126  21   1   1   1   1 508
492   0   0   0   0   0   0   0   0   0   0   0   0   0 334   1   1   1   1   1 126  21   1   1   1   1 509
493   0   0   0   0   0   0   0   0   0   0   0   0   0 333   1   1   1   1   1 126  21   1   1   1   1 510
494   0   0   0   0   0   0   0   0   0   0   0   0   0 332   1   1   1   1   1 126  21   1   1   1   1 511
495   0   0   0   0   0   0   0   0   0   0   0   0   0 331   1   1   1   1   1 126  21   1   1   1   1 512
496   0   0   0   0   0   0   0   0   0   0   0   0   0 330   1   1   1   1   1 126  21   1   1   1   1 513
497   0   0   0   0   0   0   0   0   0   0   0   0   0 329   1   1   1   1   1 126  21   1   1   1   1 514
498   0   0   0   0   0   0   0   0   0   0   0   0   0 328   1   1   1   1   1 126  21   1   1   1   1 515
499   0   0   0   0   0   0   0   0   0   0   0   0   0 327   1   1   1   1   1 126  21   1   1   1   1 516
500   0   0   0   0   0   0   0   0   0   0   0   0   0 326   1   1   1   1   1 126  21   1   1   1   1 517
501   0   0   0   0   0   0   0   0   0   0   0   0   0 325   1   1   1   1   1 126  21   1   1   1   1 518
502   0   0   0   0   0   0   0   0   0   0   0   0   0 324   1   1   1   1   1 126  21   1   1   1   1 519
503   0   0   0   0   0   0   0   0   0   0   0   0   0 323   1   1   1   1   1 126  21   1   1   1   1 520
504   0   0   0   0   0   0   0   0   0   0   0   0   0 322   1   1   1   1   1 126  21   1   1   1   1 521
505   0   0   0   0   0   0   0   0   0   0   0   0   0 321   1   1   1   1   1 126  21   1   1   1   1 522
506   0   0   0   0   0   0   0   0   0   0   0   0   0 320   1   1   1   1   1 126  21   1   1   1   1 523
507   0   0   0   0   0   0   0   0   0   0   0   0   0 319   1   1   1   1   1 126  21   1   1   1   1 524
508   0   0   0   0   0   0   0   0   0   0   0   0   0 318   1   1   1   1   1 126  21   1   1   1   1 525
509   0   0   0   0   0   0   0   0   0   0   0   0   0 317   1   1   1   1   1 126  21   1   1   1   1 526
510   0   0   0   0   0   0   0   0   0   0   0   0   0 316   1   1   1   1   1 126  21   1   1   1   1 527
511   0   0   0   0   0   0   0   0   0   0   0   0   0 315   1   1   1   1   1 126  21   1   1   1   1 528
