21 67
E29 +
H55 +
G42 -
C25 +
E52 -
N27 -
G22 +
A53 +
C51 -
B35 -
G21 -
B53 -
I40 +
B2 -
F12 -
K5 -
F3 -
M10 -
N37 -
B34 -
K8 -
H37 +
K16 +
H51 -
B14 -
G16 +
L14 -
J15 +
B7 -
G17 -
J10 +
H40 +
J44 +
A5 -
L18 -
J48 -
J37 +
C21 +
B46 +
J3 +
A12 +
J21 +
I36 -
K3 +
F7 -
B4 -
G52 -
A16 -
H50 -
E9 +
I32 +
B36 -
A48 +
A31 +
E5 +
F2 -
G19 -
H45 -
K46 +
J27 +
G47 +
I51 -
G4 +
K12 -
G39 +
B19 +
D3 +
J13 +
D18 +
H10 +
N26 -
M55 -
A40 +
E28 -
I14 +
A6 -
B18 -
F41 +
L12 +
G24 +
I43 +
F43 +
J2 +
M28 -
H2 +
F11 -
C27 +
E22 -
N54 -
L51 -
K32 -
L27 -
K18 -
L29 +
J41 +
J53 +
E49 +
H54 +
K47 +
M44 -
K24 +
K35 -
L54 -
N30 -
C38 +
M52 +
E23 -
J26 -
C11 +
C2 -
J11 +
G3 -
J23 -
N35 +
L49 -
H4 -
H33 -
A21 -
N17 +
E33 +
G2 +
F37 +
F26 +
G53 +
A36 +
I48 +
M5 -
N21 +
I20 -
N33 -
G34 +
F50 +
A20 -
M32 +
F30 -
L22 -
F55 -
L21 -
H52 +
C47 -
D16 -
H6 +
E37 +
K4 +
N43 -
H3 -
D40 +
B45 +
L30 +
G29 +
F18 -
J12 -
G33 +
J33 -
B17 +
A41 +
E2 +
L45 +
C1 -
M20 +
H28 -
C15 -
H29 -
D46 -
M41 -
H43 -
D2 -
C19 -
N18 +
K50 +
C10 +
E25 -
M49 -
C50 +
C5 +
D48 +
A50 -
I8 +
B52 +
A38 +
A43 +
L1 -
F46 -
M33 +
D5 +
M39 -
M48 +
M31 -
B13 -
N22 +
M15 +
B12 +
A13 -
M26 +
K44 +
L4 -
C40 +
D9 -
L7 +
I11 +
B9 -
E20 -
M24 +
L10 -
L20 +
C13 -
E38 +
C54 +
N40 +
A17 +
N16 +
F45 +
D34 -
F28 +
G37 +
H41 +
G51 +
J7 -
G55 +
J30 -
C44 +
M45 -
H49 -
E47 -
J52 +
L32 -
L28 -
87
I22
D12
M13
M3
F34
D11
N9
F48
G14
B20
J20
N13
A22
D43
F38
I5
D6
A1
B40
F15
A32
B29
A28
I37
G18
N1
D27
I19
A2
E55
F40
N31
C17
H8
M8
B11
E42
N5
A9
K6
I45
N25
A39
F22
A46
J8
L41
M12
F36
M27
J47
M19
N4
M43
K17
G1
N53
C3
N55
I24
L16
I1
E12
L36
A10
D36
C18
H25
L44
N23
D33
D15
D41
E24
C12
I49
G44
F9
A30
E14
I55
D8
E10
L53
F10
J55
B43
10 85
231
F34 +
B24 +
E84 -
E1 -
J27 +
I31 -
D24 -
D32 +
C18 -
A75 -
I26 -
B66 -
B27 -
J85 -
F41 +
G27 +
G38 +
A57 -
H68 -
H33 +
F63 -
H78 +
A66 -
I78 -
J7 -
H73 -
H56 -
F59 +
A37 -
F5 -
D53 +
I59 +
E59 +
G37 +
F9 +
H30 +
J70 -
F31 +
C52 +
G61 +
E85 +
C27 +
G43 +
F50 -
G50 -
I10 +
C33 +
G29 +
A65 +
D78 -
E8 -
B58 -
E53 -
D12 +
I69 +
J9 +
J53 +
G18 -
J17 +
J57 -
C2 -
B15 -
B23 -
G53 +
I83 -
E72 +
F12 -
E15 +
J41 -
E24 +
J31 -
E16 +
H39 +
I24 +
E37 +
I19 -
E34 +
B49 -
D80 -
B21 -
F49 -
I54 +
J29 -
C21 -
G77 -
F43 +
H3 -
C79 +
H18 +
B28 -
E49 +
D52 +
E70 -
I48 -
E60 -
E2 -
E38 -
I18 +
A39 +
H4 -
C35 +
H55 +
B47 -
I36 +
I12 +
F10 +
I16 -
F39 -
D72 +
D74 -
A76 -
E61 +
H80 +
G42 +
J67 +
B76 -
C1 -
E57 +
I20 +
H57 +
H61 +
E17 -
C67 +
C50 +
E33 +
I41 -
I61 +
F21 +
E42 -
A63 +
H20 +
I60 -
F84 -
B73 +
B80 -
C63 +
D51 +
G34 -
G84 -
C43 +
J11 +
A24 -
F81 +
F38 -
D62 -
D4 -
A38 -
E75 -
F25 -
D55 +
E69 +
A49 -
A20 +
G58 +
B79 -
H52 -
F46 +
J20 -
F75 -
F1 +
C65 -
G2 +
F24 -
C31 +
B56 +
J56 -
B60 -
G47 -
F51 -
I9 +
E19 +
D85 -
I7 +
J30 +
I52 -
H1 -
F65 +
A78 -
I53 +
G66 +
A69 +
F36 -
G23 -
C56 +
C46 +
G63 +
G25 +
D26 -
A61 +
F6 -
I38 -
F71 +
J19 -
A13 -
J28 -
D6 -
A85 -
B32 +
H28 +
E20 +
I58 -
C69 -
G24 -
B84 +
J46 +
J61 +
G78 -
I27 -
C71 +
E40 -
D48 -
J23 +
J59 -
J73 -
B41 -
E23 +
J12 -
J48 -
C37 -
D8 -
A54 +
J50 +
G36 +
A84 -
D60 -
H58 +
I79 +
G55 -
A52 +
C20 +
G40 -
58
F73
D7
D18
G45
G19
C29
J32
E58
J22
H22
H76
C78
B31
A46
C49
E56
F80
J8
E6
E36
G3
C36
F54
H75
G82
I37
B39
B65
I49
D22
E66
A70
B61
D79
I1
A25
F30
G28
E11
F8
D75
I42
F22
I46
H37
F69
G69
B20
A68
D59
J47
A62
F17
E81
F19
C39
H17
I40
26 90
1410
V39 -
T18 -
D78 +
D48 -
B6 +
T19 +
B71 -
Y41 -
R89 +
Q87 +
G19 +
S23 +
Z38 +
M83 +
U7 +
W39 +
L36 +
F67 -
M26 +
Q49 +
L77 -
W56 +
U48 -
F6 -
D63 -
T67 +
Z43 +
Z50 -
K6 +
J62 +
L60 -
B70 -
I70 -
G69 +
L69 +
P62 -
Y60 +
D60 +
T41 +
M70 -
U76 -
R19 +
B21 +
Y38 -
J78 +
L86 -
U26 -
L2 +
N61 +
X12 -
W18 +
P5 -
A76 -
X84 -
J48 +
I77 -
U67 -
P6 -
I50 +
G76 +
L38 +
T38 +
G71 -
I7 +
B42 +
W54 -
P27 -
I62 -
Z6 -
T70 +
G89 +
P34 +
U42 -
M82 -
V89 +
Y35 +
L6 -
A18 -
V35 +
P79 +
U12 +
T22 -
H76 +
V63 -
J59 +
E11 -
W55 -
F4 -
C19 +
B48 -
W63 +
N66 -
K88 -
K51 +
L65 +
M29 -
B25 -
P15 -
W73 -
Q46 +
Z57 +
A38 +
J29 +
R52 -
T46 -
J64 +
N74 +
T47 +
O5 -
V4 -
O84 +
H66 +
L66 -
C12 -
A77 -
J27 +
R56 -
A55 -
A50 +
N15 -
W86 -
I46 +
H46 -
P83 +
G31 +
O70 -
G62 +
Q60 +
E34 +
F43 -
Z90 +
K71 -
C26 +
I80 +
T54 -
R53 -
U36 -
E49 -
M48 -
Y54 -
G6 -
T36 +
V69 -
Z60 -
A17 -
R10 +
A34 +
I51 +
X89 +
G11 -
P18 -
X42 +
X29 +
A52 +
C86 +
C71 +
M86 -
Q67 +
N71 +
T73 -
W74 +
K36 +
A32 -
J74 -
F86 +
H16 -
G12 +
Z58 +
S12 +
N54 -
N81 -
K53 +
D12 -
E56 -
T15 -
H14 +
C76 -
W40 -
C36 -
Z69 +
Z16 +
F17 -
U21 +
F69 +
A57 +
X7 -
M34 +
B79 -
T64 +
W80 +
H42 -
J28 -
Y88 +
E21 -
G24 -
W4 +
T74 -
F39 +
G82 +
E61 +
H2 -
I52 +
F41 -
X72 -
G45 +
N7 -
W45 -
L33 -
X11 +
Y75 -
D79 -
R86 -
F89 -
S33 -
Z63 -
J6 +
Q90 -
H77 +
R54 -
J86 +
C37 -
O37 +
K57 -
U47 +
A67 +
L82 -
J55 -
S77 -
F2 +
G25 +
B66 +
W19 +
N55 +
H73 -
F40 +
A21 +
H60 -
M53 -
X85 +
A89 -
K38 -
G60 -
W28 +
D55 -
V54 +
V81 +
C55 -
V88 +
R87 +
W79 -
H47 +
G74 +
I88 +
L85 +
F58 -
A36 -
M8 +
K67 -
G41 -
S2 -
I37 +
M66 +
A5 -
Y86 -
M23 +
X47 -
X52 +
D22 -
N59 -
S7 +
P41 +
Y76 -
Y26 +
J45 -
C13 +
F53 +
P14 +
E15 +
P61 -
E22 -
P49 +
E33 +
T32 -
Q21 +
M18 -
Z53 -
Y56 +
Q58 -
H29 -
J35 +
Y70 -
R76 +
E80 -
L19 -
T71 -
P38 -
P56 -
C16 +
B84 +
C15 -
M57 -
M46 +
E36 +
Y51 +
F31 +
O88 +
O83 +
Q89 -
L12 +
U28 -
E12 +
D50 +
L1 -
Z81 -
V57 -
I32 +
O17 +
U32 +
U75 +
T84 -
Q56 -
A11 +
W78 -
F51 -
O63 +
T33 +
X5 -
R63 -
Y58 -
O4 +
B74 -
H68 -
X31 -
I71 +
B14 -
U22 -
D5 -
Y73 +
B9 +
Z70 +
L37 +
Z59 +
F1 +
J87 -
J2 -
A23 +
Q71 +
K13 -
Z55 -
H4 -
E41 +
X50 +
X55 -
I20 -
E43 +
Y37 +
F64 +
N2 -
K82 -
N41 -
H86 +
Z54 +
J33 +
T63 +
N37 +
W87 -
Y46 +
E77 +
N78 -
G88 -
L13 +
J56 +
W90 -
I47 +
G39 +
Z1 -
O39 +
Z48 -
D19 +
T10 -
A68 +
Y13 -
N46 -
C6 +
I27 +
X46 -
Z41 -
J1 +
P63 -
J65 -
W69 -
M68 -
V41 +
E38 -
F49 +
C28 -
A3 -
U77 +
L46 -
I21 +
M11 -
F52 -
U74 -
M56 -
K47 +
E70 +
B32 -
X26 +
Y66 -
T7 -
Q78 -
H43 +
B23 -
L15 +
V20 -
J18 -
N24 -
K27 +
D85 +
O81 -
O44 +
W2 -
M55 -
H62 +
A83 +
T21 +
K75 -
D65 +
N11 +
F74 +
M36 -
K10 +
Y17 -
E58 +
N58 -
T89 -
V27 -
H59 +
F21 +
A90 +
M37 -
Z78 -
M52 -
A86 +
O2 +
U37 -
X90 -
X58 -
A29 -
L31 +
S90 -
L48 -
Y40 +
X78 +
W68 -
P89 -
F83 -
F34 -
B33 -
X10 -
W65 +
Q41 +
R26 +
Z84 -
M88 +
M21 +
P68 +
O18 +
J9 +
P21 -
V55 +
N47 +
C35 +
H9 +
H39 -
A37 -
R27 -
A49 +
T34 +
X27 -
M84 -
Q9 +
Y18 -
Q77 -
O26 +
K73 -
X51 -
B83 -
D51 -
T87 -
Z25 +
P85 -
E81 -
X61 +
N84 -
E90 -
D61 +
C77 -
D31 +
O67 +
I14 -
J19 -
Y85 -
D23 +
M22 +
Z15 +
N8 +
S39 +
T59 +
M2 -
R48 +
L75 -
G35 -
L44 +
U65 +
Z34 +
Y72 +
S68 +
W6 +
S49 +
G90 -
O7 +
P84 -
T16 +
A19 +
C83 +
G46 +
T82 -
L84 -
D70 +
G66 +
M89 +
I10 -
M64 -
A85 +
S62 -
S19 +
Y47 +
M72 -
X49 +
W51 +
S82 -
Z82 -
E17 +
N70 +
B53 -
H57 +
G1 +
R23 +
Q65 +
I43 -
Q73 -
D21 +
E9 +
E71 +
T4 +
W8 +
Q32 +
Y69 +
V5 +
R1 +
W44 -
J46 +
N4 +
P1 -
C63 +
Q52 -
J70 -
Z61 +
L83 +
V7 +
X28 +
A22 +
J58 +
Y22 -
D72 +
N9 -
Y71 -
M5 -
X64 +
P58 -
V17 -
U61 +
X83 +
R44 +
J32 -
H12 -
C88 -
X4 +
E6 +
N3 -
O45 -
D69 +
K39 -
Y59 -
F32 -
C25 -
L51 +
C61 -
Z56 +
W88 +
I9 -
D3 -
L30 +
O13 +
D13 +
K83 +
B54 +
H10 -
D37 -
U20 +
F26 -
N23 +
C4 +
V70 +
C40 -
E50 -
R46 +
C52 -
R13 -
C66 -
K15 +
U53 -
P2 -
P55 -
B12 +
A64 +
Z14 +
S41 -
W16 +
N72 -
D83 +
L34 +
J30 +
A69 +
T60 -
X76 +
R51 +
Z51 +
O11 -
M51 -
E88 -
G29 -
I13 +
N22 +
D1 +
Z8 -
F45 -
B43 +
Z85 -
K87 +
C84 +
O29 +
Z5 -
M20 +
E87 +
B29 -
S72 +
Y61 -
C44 +
L80 +
H78 +
I4 -
D58 +
V43 +
K42 +
V90 -
D40 -
C62 -
G79 +
F35 +
O65 +
I76 +
L8 -
M47 -
F84 +
U40 -
O68 -
T72 +
A1 -
Z17 -
V13 -
Z64 +
O23 -
H61 +
W29 +
S65 +
L54 -
P32 -
Q6 -
J67 +
S42 -
S15 -
H22 +
J79 +
O8 +
V8 -
M71 +
Z32 -
L88 +
Q17 -
X37 +
G65 +
U59 -
V14 -
I72 -
V11 +
R42 -
Q61 +
A9 +
M16 +
G21 -
H56 -
D74 +
Q18 +
E1 -
D28 +
D52 -
S48 +
T29 +
I87 +
R38 -
J60 +
T14 -
T55 +
D24 -
L79 +
J41 -
F15 -
I26 -
T56 +
K46 +
P73 -
J40 -
K11 -
V79 -
M75 -
E19 -
S20 +
H88 -
X20 -
C70 -
O42 -
W66 +
V29 -
W62 +
F30 +
H41 -
I34 +
T51 +
B2 -
N27 +
Q3 -
D86 +
J15 -
D34 +
Z39 +
D47 -
N33 +
Q57 -
U23 +
C34 +
M27 +
Z77 +
H81 +
T88 -
E63 +
X34 -
B17 +
D41 +
H74 -
V51 +
M9 -
C8 +
M59 +
E45 -
M87 -
R6 +
Y7 +
A66 +
C87 +
L70 +
U62 +
K50 +
F42 +
K58 -
F38 -
D71 +
X74 +
S30 +
P40 +
I30 +
B75 +
R78 -
S31 -
F72 -
Q28 +
G38 -
K69 +
O75 +
Y77 +
X88 -
L45 -
P25 +
I57 -
E47 -
P74 -
Y4 +
F8 +
J17 +
U18 -
Q4 +
Q59 -
W71 +
C18 -
H55 -
B64 +
G55 -
K90 -
X2 -
K54 +
E2 -
W36 -
L72 -
A72 -
D54 -
F13 -
U66 -
Q48 +
N18 +
N25 +
W38 +
Y9 -
U57 +
S10 -
L76 +
W9 -
Z88 +
C2 +
G53 +
I3 -
X6 +
L89 -
H18 -
D75 -
O82 +
F33 +
B49 +
O9 +
K8 -
P4 -
N29 -
B5 +
E23 +
O80 -
L55 +
J16 -
B82 -
M40 -
U80 -
F80 -
P3 +
V67 +
I90 +
S80 -
S56 +
L9 -
J68 +
I55 +
P46 +
U10 -
L27 -
B55 -
J90 -
Q37 +
V62 +
D27 -
T50 +
S16 -
F14 +
O50 -
O85 +
F65 +
F44 +
T42 -
F36 +
C85 +
V21 +
X59 +
Q2 -
W41 -
H45 +
B35 -
T1 +
B7 +
J11 +
Y49 -
L87 -
Z12 -
V31 +
Z19 -
F85 +
J50 -
R21 -
V23 +
D29 -
O58 +
X8 -
F90 -
O64 +
L81 +
C57 -
Q15 +
G32 +
T23 -
W50 +
Y21 +
O71 +
M7 -
K77 -
N36 +
X66 -
W75 +
A65 +
V40 -
U71 -
Q34 -
Q35 -
T13 -
G3 -
J69 +
O31 -
V60 +
Q82 -
R34 +
K25 +
K65 +
T85 +
S6 +
R5 -
Z20 -
U81 -
L90 +
O48 -
R61 +
M61 -
R65 +
X65 +
Y62 -
K14 -
L67 +
C43 -
B76 +
J24 -
G14 +
G37 +
D35 -
X38 +
O38 +
U5 -
X45 -
B62 -
E26 +
W32 -
W49 +
I79 -
Y67 +
T83 -
I5 -
P45 +
O43 +
M81 -
Z79 -
B44 +
I18 +
W46 -
L74 -
N19 -
O27 +
N88 -
L41 +
O79 +
F20 -
M78 +
J80 -
E25 +
L56 +
F56 +
V84 -
D4 +
D9 +
H40 +
L73 -
R7 +
Y53 -
E37 -
D57 -
E83 -
G86 +
C51 -
L22 +
C80 +
A20 -
Z31 -
I78 +
N56 +
A27 +
S70 +
G34 +
E7 +
W23 +
T79 +
B36 +
G44 +
Z2 +
R81 -
H30 +
K41 -
R25 -
R60 -
V47 +
P66 +
R37 +
Z10 -
S14 +
T31 +
A42 -
T24 -
I45 +
Q33 -
Q45 +
A84 +
S57 -
X14 +
Y44 +
M65 +
S58 +
B78 +
F59 -
O41 -
U64 +
T43 -
G72 +
J47 +
W76 -
O1 -
J54 +
E73 -
U68 +
Y15 -
N44 +
M1 +
Q80 -
H69 +
Y48 +
P16 -
A62 +
E64 +
Y83 -
L68 -
R16 +
S59 -
Y43 +
D64 -
W59 -
Q39 -
Q23 +
W14 +
E65 +
G4 +
E82 -
Q1 +
A14 +
R55 +
O20 +
J10 -
G43 +
I17 +
G84 -
G33 -
H15 -
O3 -
I84 -
S32 +
X48 -
K35 -
H31 -
X75 +
D6 -
F48 -
O51 +
K45 -
B26 -
T53 +
T66 +
Q26 -
T61 -
U19 -
Y28 +
K4 -
R40 -
E16 +
V46 +
C39 +
H49 +
A16 -
R79 +
Y57 -
C49 -
N60 -
U88 -
P12 -
C45 -
C11 -
G70 -
U78 +
X22 -
U58 -
F3 +
V59 -
V19 -
O15 +
L23 +
F7 -
V30 +
L7 -
I66 -
E29 -
P30 -
Q40 -
E8 -
V52 -
W70 +
P24 -
X67 -
V71 -
I65 -
A47 +
Z35 -
Y6 -
Y82 +
F73 -
V61 -
X82 -
W11 +
T65 +
K2 +
E79 -
M10 -
Q74 +
V32 +
C47 +
F16 +
B61 +
I38 +
L21 +
U27 +
M31 -
T77 -
J83 -
U86 -
S83 -
L5 -
E24 +
C60 -
N77 +
B63 +
U87 -
Y27 +
D49 +
M63 +
J13 +
B19 +
I24 -
J89 +
D43 -
M77 +
G47 +
H8 +
S21 +
S9 -
F28 -
E54 +
Q13 +
A13 -
O89 +
J26 -
Q20 +
P90 +
T27 -
U43 +
I81 -
N86 -
X36 +
Z44 -
J37 +
Y12 -
G15 +
S89 -
V66 -
S63 +
W60 -
I8 +
X77 -
X19 +
C10 +
I19 +
F55 +
G10 +
R85 -
N89 +
A51 +
O46 -
S18 -
G78 -
A74 +
X25 -
K40 +
I40 -
L11 -
R14 -
L17 +
K68 -
K7 -
C79 +
N52 -
I89 -
N76 +
O49 +
Y14 -
E69 +
Q69 -
Q24 +
S36 +
F63 +
D73 -
L59 -
F23 +
A8 -
H63 -
L62 +
O28 -
D30 +
B69 -
J25 -
U49 +
E86 -
K78 -
M4 -
P78 +
M35 +
H84 -
S22 -
S69 -
Y65 -
E60 +
N75 -
K29 -
A35 -
N39 +
N32 -
B46 +
R15 -
J43 -
K79 -
E62 +
P75 +
E10 -
B3 -
M62 -
Y39 +
H35 -
E46 +
R75 -
C21 -
V53 +
A54 +
C24 -
C53 -
V73 +
K18 +
I44 -
H48 -
O87 -
O36 -
I67 +
Y63 +
R4 +
L78 -
T49 +
N57 +
K74 -
O66 -
W27 +
Y3 -
P42 -
U34 +
F66 -
K17 +
V77 +
F11 -
K70 +
Q11 -
R49 +
S27 +
F22 +
J23 -
M17 +
R18 +
G28 -
L29 -
S13 +
G81 -
R58 -
W52 +
O61 +
X54 +
R20 +
J7 +
G42 +
A59 -
M60 +
A43 -
S53 +
N16 -
Q30 +
U55 -
G87 +
M25 +
F62 -
A58 +
J61 +
E18 +
H53 -
Q81 -
P35 +
N65 -
S54 -
I86 +
N30 +
M14 +
G2 +
R72 +
H7 +
Y32 +
S5 +
A46 -
B86 -
Q14 -
R35 +
G8 +
A60 +
U50 +
S55 -
Z4 +
K80 -
H28 -
Z26 +
W81 -
Z21 +
B88 -
G23 +
Z7 -
P20 +
H38 +
X21 -
U15 -
B8 -
A4 +
S84 -
V25 -
I56 -
L14 +
S60 +
T11 +
F9 -
Q29 +
L40 -
T62 -
G5 +
K3 -
G57 -
S87 +
V86 -
T57 +
B89 +
I82 +
K76 -
D14 +
J71 +
J49 +
O73 +
B65 -
G22 -
K61 -
J72 +
S35 +
P65 -
Z29 -
H79 -
W22 -
J39 -
Q43 +
Z72 +
M28 +
H17 -
M32 -
C32 +
U52 +
N64 -
708
A71
Z87
G20
I68
R31
S29
Q51
Y68
U16
R36
U82
T86
Z33
H19
T8
Y11
W34
J12
B24
X60
P81
O69
C59
B52
P17
L16
H85
Q66
Z45
T25
J53
H20
W31
Q7
W67
N38
L24
P70
P11
D76
C69
X57
A78
S76
G50
D87
A79
Z76
U17
Z42
C81
N87
H51
D18
Q83
V87
Q86
B18
E28
S4
J34
R30
B34
E74
S74
H65
C14
V26
X35
H37
B58
B28
G9
N82
R77
R83
S47
R66
D11
R11
P43
B37
R50
Q31
X44
M90
U33
V33
K37
Y31
G52
X41
O35
Y64
Q70
X69
A63
Y24
C27
B16
Z73
O30
G17
S50
I54
Y29
Z36
S34
T69
Q36
P64
F61
S66
L57
V15
O22
B67
O40
F27
Q50
P69
Y8
G61
N43
W42
I85
U72
B11
Q27
B39
T9
T52
J21
S52
S73
I33
Z47
T78
A87
Y87
R41
Z13
F19
Q16
B59
E14
D67
T5
D20
P44
P28
R45
G80
G48
O34
E27
H36
O21
W47
G67
H33
V48
N79
X40
K48
T17
Q62
U73
D88
K33
B50
M74
V12
E78
Y55
L63
Z30
Z67
K19
C82
V83
W7
Z46
M69
G26
L71
I64
Q19
C90
I6
Q76
Q5
K62
E13
M39
U30
D17
T58
Y36
Z28
M42
A82
Y78
B31
B15
J14
U25
Z40
V85
A2
W26
A41
R43
W1
D7
O57
N31
X56
B60
U83
J85
K31
F76
K86
T37
M13
X24
A6
A31
B73
V78
R24
V56
N1
T3
T30
J82
P72
I53
N80
X32
R70
K60
U60
L47
C31
U4
V28
A73
F50
P76
T44
I22
F25
U6
D68
O54
Q22
P26
C68
N48
R29
D62
C48
V1
C73
N45
E68
I29
F54
C50
Y34
L42
B85
W21
P37
U63
H54
J81
P13
X17
W17
J38
W3
O72
D15
C17
G49
Z9
O77
A61
S1
H27
D38
I48
K30
C54
M12
D80
C42
U24
A48
C89
K89
S61
E72
Q42
V34
T90
D26
J77
N73
K44
D25
U51
N17
L3
G30
W85
O32
H90
J63
T80
Q63
R8
U89
A28
U13
J4
Q54
Q68
I15
X18
B40
M41
Y52
I11
F24
J5
I69
G68
M76
K49
J3
X15
Z49
M45
W13
Q79
Y19
V75
Y84
C78
B20
P7
D36
P23
B72
S43
W37
I63
M73
S37
P19
R88
R22
P54
I49
N26
P71
R90
H64
L43
O86
Q8
K16
B56
B45
I73
X73
W53
G58
D45
O55
B68
T81
M33
K21
J73
Z27
B10
R64
R57
X3
Y30
V74
B80
E89
S67
V45
P9
F57
P59
M15
M50
H13
T76
E57
I59
C41
V42
H24
Z83
T12
Z11
Q88
V38
C38
Q10
Y89
J51
I31
U29
S85
I74
R28
X33
Z23
G16
C75
K84
Y20
K20
E3
H67
P60
F60
N12
X70
A81
Y50
O74
S64
B38
F5
Q64
P47
P53
L53
V58
A56
K26
V50
Z52
Y16
H32
Y10
L58
O16
T26
R69
W61
H82
O53
M49
B81
N14
S26
Z22
C29
U9
N42
D89
W5
Y74
F81
T75
N34
U44
W84
S88
P88
F70
O76
N10
C65
W25
Q53
B47
C7
G51
F77
I60
O24
Z71
K22
H25
P87
V80
X87
P67
H80
B41
T68
C1
T39
F82
Y81
N83
U70
D42
U8
N69
D53
X68
T45
L61
N51
Z68
B30
R80
E84
D2
W72
S79
G59
X23
K9
R17
E4
O47
S51
S8
Z89
R82
A24
D16
F71
K12
A33
R74
Z18
L49
Q25
S78
B51
P31
W15
D82
E5
P48
B87
E35
R84
K32
H75
I23
L52
P22
J88
M38
H70
I12
R33
R73
O12
Q47
H89
C9
O56
E85
S71
Y80
A30
C30
M79
J36
S28
V18
E44
W77
I61
D32
T40
K55
K85
F68
I25
Z3
W33
M19
J31
V49
Y25
W58
B4
D46
V68
Q75
K52
C67
Z74
U2
W83
C20
N50
D59
M80
N20
X16
N85
Y5
O59
H58
X53
X1
E59
N63
S11
V16
K56
I58
G77
J84
G64
I28
I36
U69
E75
L25
V65
V72
S46
R47
Z62
H83
M30
G36
C46
V22
O60
F37
E30
I2
F10
H5
F75
P52
A39
K24
H87
I16
W48
H52
V44
R39
P10
U84
A44
M85
M3
U54
P80
N68
P8
D56
L28
C64
U38
U14
F87
C72
B77
A26
U41
M43
Y23
Y2
E53
I35
M54
G18
Q55
Q12
N6
R62
Y33
T48
E42
I1
E66
G13
B90
A53
Z86
E39
V10
V76
W20
E40
V64
R67
E48
R59
V82
A70
J8
E32
22 76
980
E15 -
F53 -
C47 +
C57 +
G45 +
V60 -
O46 +
R6 +
P34 +
B53 +
K22 -
L38 -
K25 -
F10 -
E19 +
U31 -
E67 -
P47 +
C72 -
F33 -
B28 -
M46 -
V8 -
F13 +
D49 +
S66 +
Q67 -
Q51 -
C17 -
J49 +
T5 +
E53 -
A50 -
K27 +
E62 +
S18 -
R70 -
D18 +
R39 -
C8 +
D19 -
K3 -
I17 +
M72 +
L28 -
T11 +
A17 -
E35 -
I47 +
T3 +
K14 +
V69 -
D25 +
J74 -
H8 +
V37 -
J35 -
A70 +
G70 -
L37 -
E44 +
A48 +
H14 +
R38 +
V61 +
J39 +
B22 +
K24 +
Q39 -
F70 +
U11 -
D52 -
J4 +
Q50 -
F35 -
F14 +
T37 +
G66 -
D74 -
D63 +
E46 -
B29 -
I55 +
Q75 -
M23 +
J30 +
R37 +
P22 -
M40 -
H5 +
M17 -
M53 +
V30 -
B62 +
D37 -
H69 +
T27 +
O63 -
I61 -
V54 -
L51 -
U52 +
M39 +
H4 +
G41 -
T28 -
K5 -
J38 -
R17 +
Q68 +
S16 -
A58 +
L14 +
F36 +
Q54 -
D55 -
U26 -
L16 +
H74 +
I74 +
J19 -
K19 +
M67 -
J11 -
A54 +
R75 -
N63 -
G31 +
A37 +
C19 +
N24 +
P56 -
C61 -
O41 -
E27 -
P68 +
A39 +
N76 -
E58 -
N3 +
E16 +
K32 +
N7 -
G9 +
T45 -
S52 +
E25 -
E66 -
G10 -
S63 -
H59 +
U3 +
E54 -
E68 +
S30 +
S15 -
H13 +
I48 -
E20 -
H40 +
O58 +
D29 +
M50 -
I58 +
P44 +
E33 +
C2 -
D72 -
D4 +
R42 +
K11 +
I65 +
R5 -
D59 +
H76 -
N48 +
J50 -
E36 +
U64 +
K29 -
K20 +
D24 +
K39 -
M66 +
F20 -
Q24 -
R9 +
V39 -
F66 +
U4 -
D70 -
Q71 -
I44 -
R25 +
M58 -
R16 +
P73 -
J64 +
L56 +
K65 -
J17 +
F59 +
U22 +
F48 -
K1 -
K4 +
U36 -
M20 +
G22 -
E50 +
S7 -
H34 +
O34 -
K2 -
B38 -
R58 +
D57 -
S4 +
M26 -
T12 +
T13 +
R34 -
T39 +
D5 +
O56 -
R30 +
H17 +
T9 -
C31 -
U76 -
S22 -
S65 +
P24 +
E3 -
E14 +
E26 +
P21 -
R33 +
M28 +
D66 +
I8 -
M24 +
D43 -
N8 -
F72 +
C35 +
L46 -
G56 -
E8 +
Q74 +
G59 +
L36 +
E7 +
T43 +
T56 +
T64 +
F76 +
E73 +
E2 +
Q13 +
G8 -
D10 -
I22 -
V48 -
U42 +
H53 -
U37 +
N49 -
D69 -
H16 +
G11 -
P49 +
B35 -
G73 -
F45 +
I14 +
D48 -
F4 +
K72 +
O71 +
I26 +
U48 -
T10 -
L4 -
Q6 -
B5 +
S19 +
D53 -
A25 +
O29 -
R28 +
U34 -
D3 -
D68 +
H73 +
L3 -
K59 +
R64 -
O11 -
H66 -
J60 -
M27 -
A74 +
B18 -
C75 -
R46 -
H30 +
D20 -
U2 -
N18 +
A14 +
C33 -
E11 -
L73 +
R69 +
U5 +
F29 -
S9 -
T53 +
I54 -
K64 +
O40 +
I37 -
P41 -
M47 -
U6 +
N69 +
E71 -
A20 -
B26 -
C50 +
G62 +
F41 +
N72 -
D31 -
I21 +
O14 -
R65 -
K36 -
J36 +
K38 +
D28 +
I76 +
D60 +
T48 +
C70 -
B65 +
K61 +
M6 -
M65 -
R66 -
T61 +
M22 -
K16 +
N43 -
L49 +
Q70 -
K53 +
B60 -
S10 -
A30 +
